Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for windows-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:53 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8342580k(2185872k free), swap 10043876k(2198336k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2017-11-18T17:28:11.123+0300: 9.773: [GC (Allocation Failure) 2017-11-18T17:28:11.123+0300: 9.773: [DefNew: 149568K->9786K(157248K), 0.0193456 secs] 291281K->152897K(506816K), 0.0194072 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:11.200+0300: 9.849: [GC (Allocation Failure) 2017-11-18T17:28:11.200+0300: 9.850: [DefNew: 149562K->9795K(157248K), 0.0194238 secs] 292673K->154304K(506816K), 0.0194851 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:11.276+0300: 9.926: [GC (Allocation Failure) 2017-11-18T17:28:11.276+0300: 9.926: [DefNew: 149571K->9789K(157248K), 0.0194126 secs] 294080K->155695K(506816K), 0.0194745 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:11.353+0300: 10.003: [GC (Allocation Failure) 2017-11-18T17:28:11.353+0300: 10.003: [DefNew: 149565K->9799K(157248K), 0.0209929 secs] 295471K->157103K(506816K), 0.0210532 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:11.432+0300: 10.081: [GC (Allocation Failure) 2017-11-18T17:28:11.432+0300: 10.081: [DefNew: 149575K->9792K(157248K), 0.0194646 secs] 296879K->158494K(506816K), 0.0195319 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:11.508+0300: 10.158: [GC (Allocation Failure) 2017-11-18T17:28:11.508+0300: 10.158: [DefNew: 149568K->9786K(157248K), 0.0192976 secs] 298270K->159885K(506816K), 0.0193586 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:11.588+0300: 10.238: [GC (Allocation Failure) 2017-11-18T17:28:11.588+0300: 10.238: [DefNew: 149562K->9442K(157248K), 0.0589672 secs] 299661K->196994K(506816K), 0.0590270 secs] [Times: user=0.05 sys=0.00, real=0.06 secs] 
2017-11-18T17:28:11.705+0300: 10.355: [GC (Allocation Failure) 2017-11-18T17:28:11.705+0300: 10.355: [DefNew: 149218K->9436K(157248K), 0.0229483 secs] 336770K->198386K(506816K), 0.0230087 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:11.785+0300: 10.435: [GC (Allocation Failure) 2017-11-18T17:28:11.785+0300: 10.435: [DefNew: 149212K->9445K(157248K), 0.0224388 secs] 338162K->199793K(506816K), 0.0224998 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:11.865+0300: 10.515: [GC (Allocation Failure) 2017-11-18T17:28:11.865+0300: 10.515: [DefNew: 149221K->9438K(157248K), 0.0219015 secs] 339569K->201184K(506816K), 0.0219582 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:11.945+0300: 10.595: [GC (Allocation Failure) 2017-11-18T17:28:11.945+0300: 10.595: [DefNew: 149214K->9447K(157248K), 0.0212784 secs] 340960K->202591K(506816K), 0.0213397 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:12.023+0300: 10.673: [GC (Allocation Failure) 2017-11-18T17:28:12.023+0300: 10.673: [DefNew: 149223K->9445K(157248K), 0.0201603 secs] 342367K->203982K(506816K), 0.0202421 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
